Channel_LID_IPTV,Name,Channel_ID,Prodaction_Status,Main_Source _Multicast,Streamer_IN_Multicast,Streamer_OUT
118,Amedia_2,344,YES,226.0.1.152:10152,226.0.1.152:10152,233.3.3.170:3170
119,Kinoseriya,707,YES,226.0.1.185:10185,228.141.1.71:7141,233.3.5.31:5031
119,Kinoseriya,226,YES,226.0.1.185:10185,226.0.1.185:10185,233.3.3.60:3060
120,Russian_Illusion,581,YES,225.0.4.44:10044,228.142.1.73:7347,233.3.4.149:4149
120,Russian_Illusion,342,YES,225.0.4.44:10044,225.0.4.44:10044,233.3.3.168:3168
121,Illuzion+,583,YES,225.0.4.41:10041,228.142.1.73:7344,233.3.4.151:4151
121,Illuzion+,343,YES,225.0.4.41:10041,225.0.4.41:10041,233.3.3.169:3169
122,NST,683,YES,226.0.1.188:10188,228.143.1.75:7541,233.3.5.7:5007
122,NST,315,YES,226.0.1.188:10188,226.0.1.188:10188,233.3.3.141:3141
123,Motorsport,925,YES,226.0.1.141:40141,227.142.1.73:7308,233.3.3.98:3098
123,Motorsport,1028,YES,226.0.1.141:40141,226.0.1.141:40141,233.3.5.151:5151
124,Kinokomediya,691,YES,226.0.1.157:10157,228.141.1.71:7150,233.3.5.15:5015
124,Kinokomediya,223,YES,226.0.1.157:10157,226.0.1.157:10157,233.3.3.57:3057
125,Indijskoe_kino,457,YES,226.0.1.185:10185,228.141.1.71:7136,233.3.4.29:4029
125,Indijskoe_kino,224,YES,226.0.1.185:10185,226.0.1.185:10185,233.3.3.58:3058
126,Piati_Kanal,1026,YES,226.0.3.128:10128,226.0.3.140:10140,233.3.5.149:5149
126,Piati_Kanal,933,YES,226.0.3.128:10128,228.142.1.73:7304,233.3.4.88:4088
127,Phoenix_Plus_Kino,891,YES,225.0.7.127:10127,228.144.1.77:7753,233.3.5.242:5242
127,Phoenix_Plus_Kino,631,YES,225.0.7.127:10127,228.144.1.77:7753,233.3.4.217:4217
128,Kinosemya_SRT_reserve,956,NO,225.0.7.117:10117,225.0.7.117:10117,233.3.3.126:3126
129,TV_21,733,YES,226.0.3.124:10124,226.0.3.124:10124,233.3.4.8:4008
129,TV_21,734,YES,226.0.3.124:10124,228.144.1.77:7711,233.3.4.9:4009
130,Kinomiks,410,YES,226.0.1.164:10164,228.142.1.73:7316,233.3.3.227:3227
130,Kinomiks,385,YES,226.0.1.164:10164,226.0.1.164:10164,233.3.3.206:3206
131,Retro,447,YES,226.0.3.140:20140,226.0.3.140:20140,233.3.4.19:4019
131,Retro,1094,YES,226.0.3.140:20140,228.144.1.77:7702,233.3.5.174:5174
132,Nashe_Novoe_Kino,630,YES,226.0.1.195:10195,226.0.1.195:10195,233.3.4.216:4216
132,Nashe_Novoe_Kino,422,YES,226.0.1.195:10195,228.142.1.73:7307,233.3.3.238:3238
133,Kinopremiera,580,YES,226.0.3.133:10133,226.0.3.133:10133,233.3.4.148:4148
134,Kinohit,893,YES,226.0.1.157:10157,226.0.1.157:10157,233.3.5.244:5244
134,Kinohit,747,YES,226.0.1.157:10157,228.142.1.73:7305,233.3.4.249:4249
135,Box_TV_Global_Reserve,910,NO,237.5.5.63:10063,237.5.5.63:10063,233.3.5.249:5249
136,Kinosvidanie,560,YES,226.0.1.147:10147,226.0.1.147:10147,233.3.4.129:4129
136,Kinosvidanie,423,YES,226.0.1.147:10147,228.142.1.73:7310,233.3.3.239:3239
137,Bollywood_HD,794,YES,226.0.1.175:40175,226.0.1.175:40175,233.3.3.24:3024
137,Bollywood,328,YES,226.0.1.175:40175,228.142.1.73:7317,233.3.3.154:3154
138,Kinokomediya_SRT_reserve,957,NO,225.0.7.109:10109,225.0.7.109:10109,233.3.3.127:3127
139,Kinohit_SRT_reserve,958,NO,225.0.7.101:10101,225.0.7.101:10101,233.3.3.128:3128
140,Nick_Jr,900,YES,225.0.7.139:10139,225.0.7.139:10139,233.3.3.80:3080
140,Nick_Jr,1095,YES,225.0.7.139:10139,228.142.1.73:7337,233.3.5.175:5175
141,Nickelodeon,318,YES,225.0.7.138:10138,225.0.7.138:10138,233.3.3.144:3144
142,Cartoon_Network,471,YES,226.0.1.174:10174,228.143.1.75:7520,233.3.4.43:4043
142,Cartoon_Network,274,YES,226.0.1.174:10174,228.143.1.75:7520,233.3.3.105:3105
143,Gulli_Girl,419,YES,226.0.3.132:10132,226.0.3.132:10132,233.3.3.235:3235
143,Gulli_Girl,1096,YES,226.0.3.132:10132,228.142.1.73:7308,233.3.5.176:5176
144,TiJi,712,YES,226.0.3.132:10132,226.0.3.132:10132,233.3.5.36:5036
144,TiJi,1097,YES,226.0.3.132:10132,228.141.1.71:7156,233.3.5.177:5177
145,Cartoonito,592,YES,226.0.3.137:20137,226.0.3.137:20137,233.3.4.160:4160
145,Cartoonito,1098,YES,226.0.3.137:20137,228.142.1.73:7328,233.3.5.178:5178
146,Unikum,584,YES,225.0.4.43:10043,228.142.1.73:7345,233.3.4.152:4152
146,Unikum,346,YES,225.0.4.43:10043,225.0.4.43:10043,233.3.3.172:3172
147,ICTV,545,YES,225.0.4.152:10152,225.0.4.152:10152,233.3.4.114:4114
148,Detskiy_Mir,632,YES,226.0.1.149:10149,226.0.1.149:10149,233.3.4.218:4218
148,Detskiy_Mir,1099,YES,226.0.1.149:10149,228.141.1.71:7142,233.3.5.179:5179
149,Malysh,505,YES,226.0.1.148:10148,226.0.1.148:10148,233.3.4.76:4076
149,Malysh,424,YES,226.0.1.148:10148,228.143.1.75:7542,233.3.3.224:3224
